Date,Open,High,Low,Close,Adj Close,Volume
2013-01-03,31.620001,31.795000,31.340000,31.490000,30.412964,12498800
2013-01-04,31.610001,31.905001,31.495001,31.764999,30.678558,10710800
2013-01-07,31.575001,31.680000,31.385000,31.615000,30.533688,9503000
2013-01-08,31.504999,31.590000,31.195000,31.424999,30.350182,11690600
2013-01-09,31.580000,31.770000,31.480000,31.600000,30.519201,10639400
2013-01-10,31.945000,32.099998,31.615000,32.064999,30.968296,14130200
2013-01-11,32.080002,32.125000,31.895000,32.090000,30.992445,8475600
2013-01-14,32.009998,32.084999,31.809999,32.014999,30.920010,8745200
2013-01-15,31.740000,32.145000,31.705000,32.070000,30.973122,8212400
2013-01-16,31.969999,32.180000,31.885000,32.060001,30.963469,7828200
2013-01-17,32.349998,32.669998,32.240002,32.465000,31.354628,15008800
2013-01-18,32.494999,32.705002,32.244999,32.625000,31.509144,11781400
2013-01-22,32.639999,32.974998,32.480000,32.965000,31.837521,11481200
2013-01-23,32.994999,33.145000,32.865002,33.060001,31.929262,9644200
2013-01-24,32.990002,33.430000,32.924999,33.084999,31.953400,14523000
2013-01-25,33.325001,33.474998,33.130001,33.474998,32.330078,11265800
2013-01-28,33.505001,33.514999,33.145000,33.410000,32.267300,9127400
2013-01-29,33.255001,33.744999,33.220001,33.650002,32.499092,9399000
2013-01-30,33.645000,33.785000,33.330002,33.395000,32.252811,14212000
2013-01-31,33.310001,33.525002,33.180000,33.275002,32.136925,10047600
2013-02-01,33.639999,33.985001,33.535000,33.875000,32.716389,13228800
2013-02-04,33.500000,33.615002,33.105000,33.145000,32.011360,17612000
2013-02-05,33.509998,34.000000,33.485001,33.814999,32.658451,13230600
2013-02-06,33.575001,33.910000,33.535000,33.855000,32.697079,11901600
2013-02-07,33.884998,33.945000,33.285000,33.785000,32.629463,18323400
2013-02-08,33.895000,34.185001,33.889999,34.125000,32.957840,14053600
2013-02-11,34.125000,34.185001,33.959999,34.119999,32.953011,8837000
2013-02-12,34.130001,34.369999,34.060001,34.230000,33.059250,9493600
2013-02-13,34.369999,34.509998,34.105000,34.294998,33.122028,12888800
2013-02-14,34.080002,34.439999,34.009998,34.369999,33.194454,8390400
2013-02-15,34.430000,34.494999,34.025002,34.290001,33.117191,15354200
2013-02-19,34.395000,34.805000,34.389999,34.770000,33.580788,11628200
2013-02-20,34.735001,34.759998,33.895000,33.895000,32.735706,24779600
2013-02-21,33.759998,33.759998,33.285000,33.505001,32.359043,24225000
2013-02-22,33.830002,34.145000,33.660000,34.139999,32.972328,14590200
2013-02-25,34.480000,34.590000,32.869999,32.884998,31.760252,29848000
2013-02-26,33.180000,33.384998,32.740002,33.299999,32.161057,29441600
2013-02-27,33.244999,34.330002,33.189999,34.134998,32.967491,17700800
2013-02-28,34.134998,34.575001,33.930000,33.994999,32.832291,12846800
2013-03-01,33.775002,34.334999,33.470001,34.215000,33.044762,50870200
2013-03-04,34.090000,34.584999,33.970001,34.570000,33.387611,12744200
2013-03-05,34.924999,35.410000,34.924999,35.200001,33.996067,17386800
2013-03-06,35.485001,35.509998,35.154999,35.314999,34.107136,13178000
2013-03-07,35.419998,35.535000,35.330002,35.465000,34.252018,8910600
2013-03-08,35.744999,35.834999,35.389999,35.759998,34.536903,15342000
2013-03-11,35.689999,36.014999,35.599998,36.009998,34.778370,8173600
2013-03-12,35.965000,36.035000,35.630001,35.845001,34.619007,11263600
2013-03-13,35.889999,36.044998,35.645000,35.924999,34.696270,10536000
2013-03-14,36.130001,36.355000,36.095001,36.310001,35.068115,8484600
2013-03-15,36.255001,36.330002,35.985001,36.215000,34.976357,10259800
2013-03-18,35.525002,36.139999,35.470001,35.834999,34.609356,12638000
2013-03-19,35.994999,36.070000,35.189999,35.654999,34.435516,21557400
2013-03-20,36.049999,36.250000,35.945000,36.099998,34.880943,9347200
2013-03-21,35.700001,35.959999,35.404999,35.520000,34.320518,12750800
2013-03-22,35.750000,36.070000,35.689999,36.055000,34.837467,7587800
2013-03-25,36.290001,36.395000,35.514999,35.810001,34.600735,16849000
2013-03-26,36.115002,36.365002,36.009998,36.355000,35.127338,9228600
2013-03-27,35.915001,36.375000,35.794998,36.320000,35.093510,11951000
2013-03-28,36.334999,36.650002,36.195000,36.490002,35.257771,10395600
2013-04-01,36.525002,36.685001,36.105000,36.264999,35.040367,10735000
2013-04-02,36.544998,36.825001,36.439999,36.634998,35.397873,12416000
2013-04-03,36.674999,36.740002,35.705002,35.884998,34.673203,20305400
2013-04-04,35.980000,36.325001,35.834999,36.180000,34.958244,17431200
2013-04-05,35.290001,35.945000,35.209999,35.849998,34.639385,17202800
2013-04-08,35.910000,36.345001,35.669998,36.345001,35.117668,11174800
2013-04-09,36.465000,36.855000,36.230000,36.575001,35.339901,10694200
2013-04-10,36.790001,37.570000,36.770000,37.500000,36.233669,12294000
2013-04-11,37.494999,37.970001,37.419998,37.735001,36.460735,11299600
2013-04-12,37.494999,37.660000,37.119999,37.540001,36.272324,12548000
2013-04-15,37.169998,37.224998,35.799999,35.814999,34.605560,17922400
2013-04-16,36.340000,36.889999,36.160000,36.834999,35.591114,12836400
2013-04-17,36.325001,36.345001,35.395000,35.755001,34.547592,26781000
2013-04-18,35.900002,35.915001,35.055000,35.299999,34.107948,18654400
2013-04-19,35.494999,35.970001,35.330002,35.880001,34.668377,12723600
2013-04-22,36.075001,36.439999,35.605000,36.264999,35.040367,11992200
2013-04-23,36.615002,37.070000,36.255001,37.005001,35.755386,16299200
2013-04-24,37.044998,37.240002,36.889999,37.099998,35.847168,9323200
2013-04-25,37.240002,37.695000,37.160000,37.360001,36.098396,10172400
2013-04-26,37.255001,37.380001,36.980000,37.220001,35.963120,10831600
2013-04-29,37.424999,37.880001,37.305000,37.689999,36.417255,9991400
2013-04-30,37.705002,37.915001,37.384998,37.900002,36.620155,8983600
2013-05-01,37.730000,37.764999,37.130001,37.215000,35.958294,23330400
2013-05-02,37.400002,37.974998,37.340000,37.884998,36.605667,9756000
2013-05-03,38.575001,38.919998,38.525002,38.625000,37.320679,8696600
2013-05-06,38.735001,38.990002,38.700001,38.889999,37.576733,5930800
2013-05-07,39.029999,39.290001,38.825001,39.264999,37.939056,7606400
2013-05-08,39.195000,39.645000,39.134998,39.625000,38.286903,5386200
2013-05-09,39.599998,39.799999,39.200001,39.430000,38.098495,8357800
